Id,JobName,StartedOn,LastModifiedOn,CompletedOn,JobRunState,AllocatedCapacity,ExecutionTime,Timeout,MaxCapacity,WorkerType,NumberOfWorkers,GlueVersion,ErrorMessage
jr_bd35de689b01123067fb93d9a233079b6f0add61a1b651a8f472c355acf77ab0,demo-pyspark-job,2020-10-03 16:44:24.851000-04:00,2020-10-03 16:45:02.523000-04:00,2020-10-03 16:45:02.523000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_00d3c341a0ce1c424efe6e931b53f9317222a3828c3ff2179bc73c107bf91b07,demo-pyspark-job,2020-10-03 16:44:24.334000-04:00,2020-10-03 16:45:03.083000-04:00,2020-10-03 16:45:03.083000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_fc26f3ca91950324f3d7b6a94b1e798a8ac99c4bcce29a9f8047ddeb74f80f10,demo-pyspark-job,2020-10-03 16:44:24.321000-04:00,2020-10-03 16:45:02.932000-04:00,2020-10-03 16:45:02.932000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_23ad3c9b6e3495d9f8ae801b349c78416bd4778971fadad456ed389ea77b6752,demo-pyspark-job,2020-10-03 16:44:24.312000-04:00,2020-10-03 16:45:02.045000-04:00,2020-10-03 16:45:02.045000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_234d8a9e7084687557486e4968eaa4c30a005ddea8ea726f7e3838dde14c98e7,demo-pyspark-job,2020-10-03 16:44:24.300000-04:00,2020-10-03 16:44:50.764000-04:00,2020-10-03 16:44:50.764000-04:00,STOPPED,2,22,2880,2.0,G.1X,2,2.0,
jr_044d5aebc83f0bc5982a87513d0cf63f52db334a6731e06497de1d3a988e163f,demo-pyspark-job,2020-10-03 16:44:24.288000-04:00,2020-10-03 16:45:04.631000-04:00,2020-10-03 16:45:04.631000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_f1f5e197c28caaf98bd5d3bd5f3299215a46105a01218d85ff82bf0f3ce824c3,demo-pyspark-job,2020-10-03 16:43:13.254000-04:00,2020-10-03 16:43:35.792000-04:00,2020-10-03 16:43:35.792000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: db5fa1bf-caba-4b6c-a2cf-95953c1c42f5; Proxy: null)
jr_a86c7f4681a6dbb27deb9d70adde18298fc9cfd436acc94a35c77b3860aa82fd,demo-pyspark-job,2020-10-03 16:43:12.958000-04:00,2020-10-03 16:43:35.624000-04:00,2020-10-03 16:43:35.624000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 949bca1b-23d1-47ad-bf46-7a3e4b9a3e1a; Proxy: null)
jr_bb35db2f86c2defc72e98541e09b10739b64905fd64a65fa17e5f215dff66195,demo-pyspark-job,2020-10-03 16:43:12.934000-04:00,2020-10-03 16:43:35.432000-04:00,2020-10-03 16:43:35.432000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 2c710e2b-d143-4739-93d6-b22b2fe01cbe; Proxy: null)
jr_a84f6c507edc24d69d8fcfaaf544879a510059f653610eef1392e643dffc7d89,demo-pyspark-job,2020-10-03 16:43:12.918000-04:00,2020-10-03 16:43:36.461000-04:00,2020-10-03 16:43:36.461000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: c08be0c4-3b41-4c09-ac1c-9153cf095c04; Proxy: null)
jr_8e5fca1b2233dc674c6932ef66f2675715b4a6360db3f936c938c341b4710b1c,demo-pyspark-job,2020-10-03 16:43:12.917000-04:00,2020-10-03 16:43:36.010000-04:00,2020-10-03 16:43:36.010000-04:00,STOPPED,2,19,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: b9f37bf2-05b8-44e8-a329-8b490d615976; Proxy: null)
jr_2448061cfba18ee879b4902c8fc677f8a8db2f5813292674e29d9f062ef3efd5,demo-pyspark-job,2020-10-03 16:43:12.914000-04:00,2020-10-03 16:43:36.412000-04:00,2020-10-03 16:43:36.412000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 3fe3093f-7f70-4c3d-ae15-a213a7f3c78d; Proxy: null)
jr_331b6082e56e95ddb607f73a1fafbed20e996dc001037982b81adc8cebcee31a,demo-pyspark-job,2020-10-03 16:43:12.514000-04:00,2020-10-03 16:43:38.037000-04:00,2020-10-03 16:43:38.037000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 347ac78c-882c-426e-aa4b-ee1c9627313e; Proxy: null)
jr_a27b8029aa782edb4359c95980d310648dd838a8f7183a03705cffc7bbb97be8,demo-pyspark-job,2020-10-03 16:43:12.496000-04:00,2020-10-03 16:43:36.452000-04:00,2020-10-03 16:43:36.452000-04:00,STOPPED,2,19,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 3e5a2501-8618-4c6f-adba-d3ea47f4ec3e; Proxy: null)
jr_fd2335fec403e3f390e7616c5faa2106e3eb1e919724a246e5ee01a447924619,demo-pyspark-job,2020-10-03 16:43:12.488000-04:00,2020-10-03 16:43:37.508000-04:00,2020-10-03 16:43:37.508000-04:00,STOPPED,2,19,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 50a8082e-84cb-4f70-abd5-b3d6d95e18d8; Proxy: null)
jr_37e3e7321a87f02b35de0580b5bc1962a21858535690a2c18a97c2d9a697a454,demo-pyspark-job,2020-10-03 16:43:12.475000-04:00,2020-10-03 16:43:35.396000-04:00,2020-10-03 16:43:35.396000-04:00,STOPPED,2,19,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: e6af836a-2deb-4c59-a6ac-3fca27ae94a9; Proxy: null)
jr_680396c1e1e74c6d88558b2d5d52d0a9ce4f958b836a2d51045b69b42b94ed3c,demo-pyspark-job,2020-10-03 16:43:12.422000-04:00,2020-10-03 16:43:35.021000-04:00,2020-10-03 16:43:35.021000-04:00,STOPPED,2,18,2880,2.0,G.1X,2,2.0,Py4JError: An error occurred while calling None.org.apache.spark.api.java.JavaSparkContext caused by Cannot create child task as the parent task is CANCELING (Service: AWSGlueJobExecutor; Status Code: 400; Error Code: InvalidInputException; Request ID: 806d2cdd-536f-44f1-9894-7444278ba10b; Proxy: null)
jr_bf7dc5ab2fdd366cc61df59193f8e7ef74eff398383bf407705ffb3c3204bef4,demo-pyspark-job,2020-10-03 16:41:55.451000-04:00,2020-10-03 16:43:39.876000-04:00,2020-10-03 16:43:39.876000-04:00,STOPPED,2,98,2880,2.0,G.1X,2,2.0,
jr_ea2e0e3014049c339e0e275f525d352a032f7b81c653466821808b2ca749d3d0,demo-pyspark-job,2020-10-03 16:41:53.092000-04:00,2020-10-03 16:42:31.824000-04:00,2020-10-03 16:42:31.824000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_9c7d413741e32b6b0879e54000af617127bd54cc7790dbf0351d8175f2fed27e,demo-pyspark-job,2020-10-03 16:41:53.060000-04:00,2020-10-03 16:42:30.836000-04:00,2020-10-03 16:42:30.836000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_93aaec3befb729a542aa1e56e4fa7f39ac1df6e708fa9a40a7ed5b213733b80d,demo-pyspark-job,2020-10-03 16:41:52.753000-04:00,2020-10-03 16:42:32.976000-04:00,2020-10-03 16:42:32.976000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_1a8cb30557466548bf8c0a4745eadc8088cf3d1579f856f36b3bd8c2e9e01971,demo-pyspark-job,2020-10-03 16:41:52.746000-04:00,2020-10-03 16:42:31.466000-04:00,2020-10-03 16:42:31.466000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_1eac187a91607aac21621e538e98a345bf53b50735553124b3c4d69166d38ae5,demo-pyspark-job,2020-10-03 16:41:52.740000-04:00,2020-10-03 16:42:31.702000-04:00,2020-10-03 16:42:31.702000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_977439fad55a57e9f937e0f8e62e418581b37569c20a3755aa5f75f6f0a3bb9b,demo-pyspark-job,2020-10-03 16:41:52.738000-04:00,2020-10-03 16:42:31.561000-04:00,2020-10-03 16:42:31.561000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_29886b0f26edcf1db93423cda31324e73be5e9af80d11b1ee63b477205a92c79,demo-pyspark-job,2020-10-03 16:41:52.718000-04:00,2020-10-03 16:42:30.708000-04:00,2020-10-03 16:42:30.708000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_705ea7b0060fdbd67db9c805dff9f2aaadfb7497a114e581ed8cdc4b43157d9c,demo-pyspark-job,2020-10-03 16:40:12.181000-04:00,2020-10-03 16:40:51.201000-04:00,2020-10-03 16:40:51.201000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_60367661194686e5634cebdc54f5d578cb3b31f8427c5cadc1e2b0b9b664efff,demo-pyspark-job,2020-10-03 16:40:12.167000-04:00,2020-10-03 16:40:49.828000-04:00,2020-10-03 16:40:49.828000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_5f2003bf90a397e14afc7f7245b70245dda33e3215db2d2a5f940a03e8cc648f,demo-pyspark-job,2020-10-03 16:40:12.033000-04:00,2020-10-03 16:40:49.022000-04:00,2020-10-03 16:40:49.022000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_dd9dadac0b8547a67b2189f07839aba12d78b3b9b43d3e7c1fd306b6b7f92a69,demo-pyspark-job,2020-10-03 16:40:11.838000-04:00,2020-10-03 16:40:50.467000-04:00,2020-10-03 16:40:50.467000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_6c69ba80f185bb16019dc9e18468aaaf443df9a67b2ffa72ad37d1e1a29be2e6,demo-pyspark-job,2020-10-03 16:40:11.837000-04:00,2020-10-03 16:40:49.509000-04:00,2020-10-03 16:40:49.509000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_d2d548986da49060ddf7b7f34d404eb6d67f863cebbf15caa36ff002dc8258bb,demo-pyspark-job,2020-10-03 16:40:11.775000-04:00,2020-10-03 16:40:49.670000-04:00,2020-10-03 16:40:49.670000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_8939262a55ba3e22e31ad5b9ba72d56972fcc77fc7bfd2a54748df6f634a7a23,demo-pyspark-job,2020-10-03 16:40:11.674000-04:00,2020-10-03 16:40:49.827000-04:00,2020-10-03 16:40:49.827000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_7e9688befc2594aad1e7391492918a2cba5200cf8aeb6a9874fae8c9ae737304,demo-pyspark-job,2020-10-03 16:40:11.662000-04:00,2020-10-03 16:40:49.601000-04:00,2020-10-03 16:40:49.601000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_08000fd7086804b25a63bf418fbea43038d1a27bd7056233fdc9f4247bda2687,demo-pyspark-job,2020-10-03 16:40:11.450000-04:00,2020-10-03 16:40:52.705000-04:00,2020-10-03 16:40:52.705000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_a3d0cac37ab00de830a2b2a70dc54a00a423e8b0e74d80df1d19ae8fd2d97e48,demo-pyspark-job,2020-10-03 16:40:11.430000-04:00,2020-10-03 16:40:49.528000-04:00,2020-10-03 16:40:49.528000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_8bdd11ebd5498f9eb340ab4ed0409e052e3ced2e3811f5beaeb746f109f0540d,demo-pyspark-job,2020-10-03 16:40:11.421000-04:00,2020-10-03 16:40:50.177000-04:00,2020-10-03 16:40:50.177000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_514d5c13c83eb7a52f0c2060da6e30800a77b47bebb4b5811ef913e1ae8022e3,demo-pyspark-job,2020-10-03 16:37:12.002000-04:00,2020-10-03 16:37:49.197000-04:00,2020-10-03 16:37:49.197000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_aac4a9d4a733d7cd043d7804f77824d85b15c401c7bdce8c077b0fda1782800d,demo-pyspark-job,2020-10-03 16:37:11.800000-04:00,2020-10-03 16:37:49.064000-04:00,2020-10-03 16:37:49.064000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_40634455179aa41db8d4b11348511683d436b0eab52e6d0da70706535ca5cb5f,demo-pyspark-job,2020-10-03 16:37:11.519000-04:00,2020-10-03 16:37:49.079000-04:00,2020-10-03 16:37:49.079000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_176ee09f780eed9b375b333f5b51a380d37a4dc74f42a020642a2a25370ff9c9,demo-pyspark-job,2020-10-03 16:37:11.295000-04:00,2020-10-03 16:37:50.353000-04:00,2020-10-03 16:37:50.353000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_5acfa52df60ff7ea0a0b2f236b23b6bf608b54e0658845a6249eb22567e08c2f,demo-pyspark-job,2020-10-03 16:37:11.290000-04:00,2020-10-03 16:37:49.273000-04:00,2020-10-03 16:37:49.273000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_9d899c82aa00aa8f3f8f572aed3c0835c9f74e4f0b093283bac6b1a62bb78fbe,demo-pyspark-job,2020-10-03 16:37:11.278000-04:00,2020-10-03 16:37:52.656000-04:00,2020-10-03 16:37:52.656000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_6730a7c7aadb413462696a213d2b031fc2c0a310db253d91393560a18e82a25f,demo-pyspark-job,2020-10-03 16:37:11.231000-04:00,2020-10-03 16:37:49.209000-04:00,2020-10-03 16:37:49.209000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_c198b75a51d7104141560931fb6fa33ded1b9a8f5dd595ef316d93cd35e4d5ea,demo-pyspark-job,2020-10-03 16:34:11.894000-04:00,2020-10-03 16:34:49.097000-04:00,2020-10-03 16:34:49.097000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_700854f3b6f1b3e0631cde11a98e928ca368185c4dd7a9db90959c048c789c83,demo-pyspark-job,2020-10-03 16:34:11.734000-04:00,2020-10-03 16:34:49.415000-04:00,2020-10-03 16:34:49.415000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
